🍇 food grapes
🍈 food melon
🍉 food watermelon
🍊 food tangerine
🍋 food lemon
🍋‍🟩 food lime
🍌 food banana
🍍 food pineapple
🥭 food mango
🍎 food apple red
🍏 food apple green
🍐 food pear
🍑 food peach
🍒 food cherry
🍓 food strawberry
🫐 food blueberry
🥝 food kiwi
🍅 food tomato
🫒 food olive
🥥 food coconut
🥑 food avocado
🍆 food eggplant
🥔 food potato
🥕 food carrot
🌽 food corn
🌶️ food hot pepper
🫑 food bell pepper
🥒 food cucumber
🥬 food lettuce
🥦 food broccoli
🧄 food garlic
🧅 food onion
🥜 food peanut
🫘 food beans
🌰 food chestnut
🫚 food ginger
🫛 food peas
🍄‍🟫 food mushroom
🫜 food beetroot
🍞 food bread
🥐 food croissant
🥖 food baguette
🫓 food flatbread pita
🥨 food pretzel
🥯 food bagel
🥞 food pancakes
🧇 food waffle
🧀 food cheese
🍖 food meat on bone
🍗 food meat drumstick
🥩 food meat steak
🥓 food bacon
🍔 food hamburger
🍟 food french fries
🍕 food pizza
🌭 food hot dog
🥪 food sandwich
🌮 food taco
🌯 food burrito
🥚 food egg
🍳 food pan
🥘 food stew
🍲 food pot
🫕 food fondue
🥣 food bowl
🥗 food green salad
🍿 food popcorn
🧈 food butter
🧂 food salt
🥫 food canned food
🍱 food bento box
🍚 food rice
🍜 food ramen
🍝 food spaghetti pasta
🍣 food sushi
🥟 food dumpling
🥠 food fortune cookie
🥡 food takeout box
🍦 food soft ice cream
🍨 food ice cream bowl
🍩 food donut
🍪 food cookie
🎂 food birthday cake
🍰 food cake slice
🧁 food cupcake
🥧 food pie
🍫 food chocolate bar
🍬 food candy
🍭 food lollipop
🍮 food pudding
🍯 food honey pot
🍼 food milk baby bottle
🥛 food glass of milk
☕ food coffee
🫖 food teapot
🍵 food tea
🍾 food champagne bottle
🍷 food wine
🍸 food martini
🍹 food cocktail
🍺 food beer
🍻 food beer mugs
🥂 food clinking glasses
🥃 food whisky
🫗 food pouring liquid
🥤 food lemonade soda with straw
🧋 food bubble tea
🧃 food juice box
🧊 food ice cube
🥢 food chopsticks
🍽️ food fork plate knife
🥄 food spoon
🔪 food knife
🫙 food jar
🏺 food amphora jug
