↑ arrow up
↓ arrow down
← arrow left
→ arrow right
↕ arrow up down
↔ arrow left right
↖ arrow up left
↗ arrow up right
↙ arrow down left
↘ arrow down right
↥ arrow bar up
↧ arrow bar down
↤ arrow bar left
↦ arrow bar right
↩ arrow hook left
↪ arrow hook right
⤣ arrow hook up left
⤤ arrow hook up right
⤥ arrow hook down right
⤦ arrow hook down left
↫ arrow loop left
↬ arrow loop right
⇅ arrow up arrow down
⇆ arrow left arrow right
⇄ arrow right arrow left
↹ arrow bar left arrow bar right
⇇ arrow left arrow left
⇈ arrow up arrow up
⇉ arrow right arrow right
⇊ arrow down arrow down
⇑ arrow double up
⇓ arrow double down
⇐ arrow double left
⇒ arrow double right
⇔ arrow double left right
⇠ arrow dash left
⇡ arrow dash up
⇢ arrow dash right
⇣ arrow dash down
⤒ arrow stop up
⤓ arrow stop down
⇤ arrow stop left
⇥ arrow stop right
⇵ arrow down arrow up
⟲ arrow clock left
⟳ arrow clock right
🠵 arrow finger up
🠷 arrow finger down
🠴 arrow finger left
🠶 arrow finger right
🡄 arrow fat left
🡅 arrow fat up
🡆 arrow fat right
🡇 arrow fat down
⬎ arrow bent left down
⬏ arrow bent left up
⬐ arrow bent right down
⬑ arrow bent right up
🞀 arrow head left
🞁 arrow head up
🞂 arrow head right
🞃 arrow head down
