█ block full
▓ block shade dark
▒ block shade medium
░ block shade light
𜱃 block crosshatch
▔ block 1/8 up
▀ block 4/8 up
▁ block 1/8 down
▂ block 2/8 down
▃ block 3/8 down
▄ block 4/8 down
▅ block 5/8 down
▆ block 6/8 down
▇ block 7/8 down
▏ block 1/8 left
▎ block 2/8 left
▍ block 3/8 left
▌ block 4/8 left
▋ block 5/8 left
▊ block 6/8 left
▉ block 7/8 left
▕ block 1/8 right
▐ block 4/8 right
▘ block quadrant 1
▝ block quadrant 2
▖ block quadrant 3
▗ block quadrant 4
▚ block quadrant 14
▞ block quadrant 23
▛ block quadrant 123
▜ block quadrant 124
▙ block quadrant 134
▟ block quadrant 234
🬀 block sextant 1
🬁 block sextant 2
🬃 block sextant 3
🬇 block sextant 4
🬏 block sextant 5
🬞 block sextant 6
🬂 block sextant 12
🬄 block sextant 13
🬈 block sextant 14
🬐 block sextant 15
🬟 block sextant 16
🬅 block sextant 23
🬉 block sextant 24
🬑 block sextant 25
🬠 block sextant 26
🬋 block sextant 34
🬓 block sextant 35
🬢 block sextant 36
🬆 block sextant 123
🬊 block sextant 124
🬒 block sextant 125
🬡 block sextant 126
🬌 block sextant 134
🬍 block sextant 234
🬎 block sextant 1234
🬔 block sextant 235
🬕 block sextant 1235
🬖 block sextant 45
🬗 block sextant 145
🬘 block sextant 245
🬙 block sextant 1245
🬚 block sextant 345
🬛 block sextant 1345
🬜 block sextant 2345
🬝 block sextant 12345
🬣 block sextant 136
🬤 block sextant 236
🬥 block sextant 1236
🬦 block sextant 46
🬧 block sextant 146
🬨 block sextant 1246
🬩 block sextant 346
🬪 block sextant 1346
🬫 block sextant 2346
🬬 block sextant 12346
🬭 block sextant 56
🬮 block sextant 156
🬯 block sextant 256
🬰 block sextant 1256
🬱 block sextant 356
🬲 block sextant 1356
🬳 block sextant 2356
🬴 block sextant 12356
🬵 block sextant 456
🬶 block sextant 1456
🬷 block sextant 2456
🬸 block sextant 12456
🬹 block sextant 3456
🬺 block sextant 13456
🬻 block sextant 23456
𜴀 block octant 3
𜴁 block octant 23
𜴂 block octant 123
𜴃 block octant 4
𜴄 block octant 14
𜴅 block octant 124
𜴆 block octant 34
𜴇 block octant 134
𜴈 block octant 234
𜴉 block octant 5
𜴊 block octant 15
𜴋 block octant 25
𜴌 block octant 125
𜴍 block octant 135
𜴎 block octant 235
𜴏 block octant 1235
𜴐 block octant 45
𜴑 block octant 145
𜴒 block octant 245
𜴓 block octant 1245
𜴔 block octant 345
𜴕 block octant 1345
𜴖 block octant 2345
𜴗 block octant 12345
𜴘 block octant 6
𜴙 block octant 16
𜴚 block octant 26
𜴛 block octant 126
𜴜 block octant 36
𜴝 block octant 136
𜴞 block octant 236
𜴟 block octant 1236
𜴠 block octant 146
𜴡 block octant 246
𜴢 block octant 1246
𜴣 block octant 346
𜴤 block octant 1346
𜴥 block octant 2346
𜴦 block octant 12346
𜴧 block octant 56
𜴨 block octant 156
𜴩 block octant 256
𜴪 block octant 1256
𜴫 block octant 356
𜴬 block octant 1356
𜴭 block octant 2356
𜴮 block octant 12356
𜴯 block octant 456
𜴰 block octant 1456
𜴱 block octant 2456
𜴲 block octant 12456
𜴳 block octant 3456
𜴴 block octant 13456
𜴵 block octant 23456
𜴶 block octant 17
𜴷 block octant 27
𜴸 block octant 127
𜴹 block octant 37
𜴺 block octant 137
𜴻 block octant 237
𜴼 block octant 1237
𜴽 block octant 47
𜴾 block octant 147
𜴿 block octant 247
𜵀 block octant 1247
𜵁 block octant 347
𜵂 block octant 1347
𜵃 block octant 2347
𜵄 block octant 12347
𜵅 block octant 157
𜵆 block octant 257
𜵇 block octant 1257
𜵈 block octant 357
𜵉 block octant 2357
𜵊 block octant 12357
𜵋 block octant 457
𜵌 block octant 1457
𜵍 block octant 12457
𜵎 block octant 3457
𜵏 block octant 13457
𜵐 block octant 23457
𜵑 block octant 67
𜵒 block octant 167
𜵓 block octant 267
𜵔 block octant 1267
𜵕 block octant 367
𜵖 block octant 1367
𜵗 block octant 2367
𜵘 block octant 12367
𜵙 block octant 467
𜵚 block octant 1467
𜵛 block octant 2467
𜵜 block octant 12467
𜵝 block octant 3467
𜵞 block octant 13467
𜵟 block octant 23467
𜵠 block octant 123467
𜵡 block octant 567
𜵢 block octant 1567
𜵣 block octant 2567
𜵤 block octant 12567
