⠀ braille 0
⠁ braille 1
⠂ braille 2
⠃ braille 12
⠄ braille 3
⠅ braille 13
⠆ braille 23
⠇ braille 123
⠈ braille 4
⠉ braille 14
⠊ braille 24
⠋ braille 124
⠌ braille 34
⠍ braille 134
⠎ braille 234
⠏ braille 1234
⠐ braille 5
⠑ braille 15
⠒ braille 25
⠓ braille 125
⠔ braille 35
⠕ braille 135
⠖ braille 235
⠗ braille 1235
⠘ braille 45
⠙ braille 145
⠚ braille 245
⠛ braille 1245
⠜ braille 345
⠝ braille 1345
⠞ braille 2345
⠟ braille 12345
⠠ braille 6
⠡ braille 16
⠢ braille 26
⠣ braille 126
⠤ braille 36
⠥ braille 136
⠦ braille 236
⠧ braille 1236
⠨ braille 46
⠩ braille 146
⠪ braille 246
⠫ braille 1246
⠬ braille 346
⠭ braille 1346
⠮ braille 2346
⠯ braille 12346
⠰ braille 56
⠱ braille 156
⠲ braille 256
⠳ braille 1256
⠴ braille 356
⠵ braille 1356
⠶ braille 2356
⠷ braille 12356
⠸ braille 456
⠹ braille 1456
⠺ braille 2456
⠻ braille 12456
⠼ braille 3456
⠽ braille 13456
⠾ braille 23456
⠿ braille 123456
⡀ braille 7
⡁ braille 17
⡂ braille 27
⡃ braille 127
⡄ braille 37
⡅ braille 137
⡆ braille 237
⡇ braille 1237
⡈ braille 47
⡉ braille 147
⡊ braille 247
⡋ braille 1247
⡌ braille 347
⡍ braille 1347
⡎ braille 2347
⡏ braille 12347
⡐ braille 57
⡑ braille 157
⡒ braille 257
⡓ braille 1257
⡔ braille 357
⡕ braille 1357
⡖ braille 2357
⡗ braille 12357
⡘ braille 457
⡙ braille 1457
⡚ braille 2457
⡛ braille 12457
⡜ braille 3457
⡝ braille 13457
⡞ braille 23457
⡟ braille 123457
⡠ braille 67
⡡ braille 167
⡢ braille 267
⡣ braille 1267
⡤ braille 367
⡥ braille 1367
⡦ braille 2367
⡧ braille 12367
⡨ braille 467
⡩ braille 1467
⡪ braille 2467
⡫ braille 12467
⡬ braille 3467
⡭ braille 13467
⡮ braille 23467
⡯ braille 123467
⡰ braille 567
⡱ braille 1567
⡲ braille 2567
⡳ braille 12567
⡴ braille 3567
⡵ braille 13567
⡶ braille 23567
⡷ braille 123567
⡸ braille 4567
⡹ braille 14567
⡺ braille 24567
⡻ braille 124567
⡼ braille 34567
⡽ braille 134567
⡾ braille 234567
⡿ braille 1234567
⢀ braille 8
⢁ braille 18
⢂ braille 28
⢃ braille 128
⢄ braille 38
⢅ braille 138
⢆ braille 238
⢇ braille 1238
⢈ braille 48
⢉ braille 148
⢊ braille 248
⢋ braille 1248
⢌ braille 348
⢍ braille 1348
⢎ braille 2348
⢏ braille 12348
⢐ braille 58
⢑ braille 158
⢒ braille 258
⢓ braille 1258
⢔ braille 358
⢕ braille 1358
⢖ braille 2358
⢗ braille 12358
⢘ braille 458
⢙ braille 1458
⢚ braille 2458
⢛ braille 12458
⢜ braille 3458
⢝ braille 13458
⢞ braille 23458
⢟ braille 123458
⢠ braille 68
⢡ braille 168
⢢ braille 268
⢣ braille 1268
⢤ braille 368
⢥ braille 1368
⢦ braille 2368
⢧ braille 12368
⢨ braille 468
⢩ braille 1468
⢪ braille 2468
⢫ braille 12468
⢬ braille 3468
⢭ braille 13468
⢮ braille 23468
⢯ braille 123468
⢰ braille 568
⢱ braille 1568
⢲ braille 2568
⢳ braille 12568
⢴ braille 3568
⢵ braille 13568
⢶ braille 23568
⢷ braille 123568
⢸ braille 4568
⢹ braille 14568
⢺ braille 24568
⢻ braille 124568
⢼ braille 34568
⢽ braille 134568
⢾ braille 234568
⢿ braille 1234568
⣀ braille 78
⣁ braille 178
⣂ braille 278
⣃ braille 1278
⣄ braille 378
⣅ braille 1378
⣆ braille 2378
⣇ braille 12378
⣈ braille 478
⣉ braille 1478
⣊ braille 2478
⣋ braille 12478
⣌ braille 3478
⣍ braille 13478
⣎ braille 23478
⣏ braille 123478
⣐ braille 578
⣑ braille 1578
⣒ braille 2578
⣓ braille 12578
⣔ braille 3578
⣕ braille 13578
⣖ braille 23578
⣗ braille 123578
⣘ braille 4578
⣙ braille 14578
⣚ braille 24578
⣛ braille 124578
⣜ braille 34578
⣝ braille 134578
⣞ braille 234578
⣟ braille 1234578
⣠ braille 678
⣡ braille 1678
⣢ braille 2678
⣣ braille 12678
⣤ braille 3678
⣥ braille 13678
⣦ braille 23678
⣧ braille 123678
⣨ braille 4678
⣩ braille 14678
⣪ braille 24678
⣫ braille 124678
⣬ braille 34678
⣭ braille 134678
⣮ braille 234678
⣯ braille 1234678
⣰ braille 5678
⣱ braille 15678
⣲ braille 25678
⣳ braille 125678
⣴ braille 35678
⣵ braille 135678
⣶ braille 235678
⣷ braille 1235678
⣸ braille 45678
⣹ braille 145678
⣺ braille 245678
⣻ braille 1245678
⣼ braille 345678
⣽ braille 1345678
⣾ braille 2345678
⣿ braille 12345678
