¬ math not
⌐ math not reversed
⧺ math plus double
± math plus minus
× math multiplication
÷ math division
′ math prime single
″ math prime double
‴ math prime triple
⁄ math fraction
∀ math for-all
∃ math there-exist
∄ math there-exist not
∅ math set empty
⦰ math set empty reversed
∈ math element-of
∉ math element-of not
∋ math contains
∌ math contains not
∎ math end-of-proof
∏ math array product
∐ math array coproduct
∑ math array sum
− math minus
∓ math minus plus
∗ math asterisk
∘ math ring
∙ math bullet
√ math root
∝ math proportional
∞ math infinity
⟀ misc angle 3D 
∟ math angle right
∠ math angle acute
∡ math angle measured
∢ math angle spherical
∣ math divides
∤ math divides not
∥ math parallel
∦ math parallel not
∧ math AND angle
∨ math OR angle
⋎ math OR curl
⋏ math AND curl
⊼ math NAND angle
⊽ math NOR angle
⊻ math XOR angle
∩ math AND
∪ math OR
∫ math integral single
∬ math integral double
∭ math integral triple
∮ math integral contour
∯ math integral surface
∰ math integral volume
∴ math therefore
∵ math because
∶ math ratio
∷ math proportion
∹ math excess
∺ math proportion geometric
∻ math homothetic
∽ math tilde reversed
∾ math lazy-s inverted
∿ math sine
≁ math tilde not
≃ math equal asympt
≄ math equal asympt not
≅ math equal approx
≇ math equal approx not
≈ math equal almost
≉ math equal almost not
≋ math tilde triple
≍ math equivalent
≑ math equal geometric
≔ math colon equal
≕ math equal colon
≠ math equal not
≡ math identical
≢ math identical not
≤ math less equal
≥ math more equal
≭ math equivalent not
≮ math less not
≯ math more not
≰ math less equal not
≱ math more equal not
≶ math less more
≷ math more less
≸ math less more not
≹ math more less not
≺ math precede
≻ math succeed
⊀ math precede not
⊁ math succeed not
⊂ math subset
⊃ math superset
⊄ math subset not
⋐ math subset double
⋑ math superset double
⋒ math AND double
⋓ math OR double
⊅ math superset not
⊆ math subset equal
⊇ math superset equal
⊈ math subset equal not
⊉ math superset equal not
⋕ math equal parallel
⋘ math less much
⋙ math more much
⟂ math perpendicular
