① Circled Digit One
② Circled Digit Two
③ Circled Digit Three
④ Circled Digit Four
⑤ Circled Digit Five
⑥ Circled Digit Six
⑦ Circled Digit Seven
⑧ Circled Digit Eight
⑨ Circled Digit Nine
⑩ Circled Number Ten
⑪ Circled Number Eleven
⑫ Circled Number Twelve
⑬ Circled Number Thirteen
⑭ Circled Number Fourteen
⑮ Circled Number Fifteen
⑯ Circled Number Sixteen
⑰ Circled Number Seventeen
⑱ Circled Number Eighteen
⑲ Circled Number Nineteen
⑳ Circled Number Twenty
⑴ Parenthesized Digit One
⑵ Parenthesized Digit Two
⑶ Parenthesized Digit Three
⑷ Parenthesized Digit Four
⑸ Parenthesized Digit Five
⑹ Parenthesized Digit Six
⑺ Parenthesized Digit Seven
⑻ Parenthesized Digit Eight
⑼ Parenthesized Digit Nine
⑽ Parenthesized Number Ten
⑾ Parenthesized Number Eleven
⑿ Parenthesized Number Twelve
⒀ Parenthesized Number Thirteen
⒁ Parenthesized Number Fourteen
⒂ Parenthesized Number Fifteen
⒃ Parenthesized Number Sixteen
⒄ Parenthesized Number Seventeen
⒅ Parenthesized Number Eighteen
⒆ Parenthesized Number Nineteen
⒇ Parenthesized Number Twenty
⒈ Digit One Full Stop
⒉ Digit Two Full Stop
⒊ Digit Three Full Stop
⒋ Digit Four Full Stop
⒌ Digit Five Full Stop
⒍ Digit Six Full Stop
⒎ Digit Seven Full Stop
⒏ Digit Eight Full Stop
⒐ Digit Nine Full Stop
⒑ Number Ten Full Stop
⒒ Number Eleven Full Stop
⒓ Number Twelve Full Stop
⒔ Number Thirteen Full Stop
⒕ Number Fourteen Full Stop
⒖ Number Fifteen Full Stop
⒗ Number Sixteen Full Stop
⒘ Number Seventeen Full Stop
⒙ Number Eighteen Full Stop
⒚ Number Nineteen Full Stop
⒛ Number Twenty Full Stop
⒜ Parenthesized Latin Small Letter A
⒝ Parenthesized Latin Small Letter B
⒞ Parenthesized Latin Small Letter C
⒟ Parenthesized Latin Small Letter D
⒠ Parenthesized Latin Small Letter E
⒡ Parenthesized Latin Small Letter F
⒢ Parenthesized Latin Small Letter G
⒣ Parenthesized Latin Small Letter H
⒤ Parenthesized Latin Small Letter I
⒥ Parenthesized Latin Small Letter J
⒦ Parenthesized Latin Small Letter K
⒧ Parenthesized Latin Small Letter L
⒨ Parenthesized Latin Small Letter M
⒩ Parenthesized Latin Small Letter N
⒪ Parenthesized Latin Small Letter O
⒫ Parenthesized Latin Small Letter P
⒬ Parenthesized Latin Small Letter Q
⒭ Parenthesized Latin Small Letter R
⒮ Parenthesized Latin Small Letter S
⒯ Parenthesized Latin Small Letter T
⒰ Parenthesized Latin Small Letter U
⒱ Parenthesized Latin Small Letter V
⒲ Parenthesized Latin Small Letter W
⒳ Parenthesized Latin Small Letter X
⒴ Parenthesized Latin Small Letter Y
⒵ Parenthesized Latin Small Letter Z
Ⓐ Circled Latin Capital Letter A
Ⓑ Circled Latin Capital Letter B
Ⓒ Circled Latin Capital Letter C
Ⓓ Circled Latin Capital Letter D
Ⓔ Circled Latin Capital Letter E
Ⓕ Circled Latin Capital Letter F
Ⓖ Circled Latin Capital Letter G
Ⓗ Circled Latin Capital Letter H
Ⓘ Circled Latin Capital Letter I
Ⓙ Circled Latin Capital Letter J
Ⓚ Circled Latin Capital Letter K
Ⓛ Circled Latin Capital Letter L
Ⓜ Circled Latin Capital Letter M
Ⓝ Circled Latin Capital Letter N
Ⓞ Circled Latin Capital Letter O
Ⓟ Circled Latin Capital Letter P
Ⓠ Circled Latin Capital Letter Q
Ⓡ Circled Latin Capital Letter R
Ⓢ Circled Latin Capital Letter S
Ⓣ Circled Latin Capital Letter T
