ˈ  phono stress primary
ˌ  phono stress secondary
′  phono stress alt
ː  phono chroneme long
ɑː phono p[al]m    long a
ɔː phono th[ough]t long o
iː phono f[ee]t    long i
uː phono ch[oo]se  long u
ɜː phono l[ear]n   long io
ɛː phono squ[are]  long ea
aʊ phono m[ou]th   diphthong au
oʊ phono g[oa]t    diphthong ou
əʊ phono g[oa]t    diphthong eu
ʊə phono c[ure]    diphthong ue
eə phono th[ere]   diphthong ea
ɪə phono n[ear]    diphthong ie
aɪ phono pr[i]ce   diphthong ai
ɔɪ phono ch[oi]ce  diphthong oi
eɪ phono f[a]ce    diphthong ei
ʌ  phono bl[oo]d   short a
ɒ  phono wh[a]t    short o
ʊ  phono p[u]t     short u
ɪ  phono b[ee]n    short i
æ  phono b[a]d     ash ae
ə  phono [a]go     shwa
ï  phono na[i]ve   yi
é  phono caf[e]    stressed e
ŋ  phono si[ng]    engma
tʃ phono [ch]ip    tesh
dʒ phono [j]ump    dezh
θ  phono [th]in    theta
ʃ  phono [sh]ip    esh
ð  phono [th]at    eth
ʒ  phono mea[su]re ezh
ɹ  phono thei[r]   non-rhotic r
